0,1,2,3,4,5,6,7,8,9,class
955,1338,748,162,229,1206,14742,7578,1673,179,a
1884,1024,1571,1258,139,2624,12641,11102,2990,424,a
1488,1267,2883,1966,349,2752,12730,11284,1693,675,a
1067,1007,1446,672,327,1095,9872,9979,981,238,a
1272,1201,3065,294,672,2492,18742,4553,987,692,a
2563,2001,2477,1412,341,2328,11217,13584,2818,436,a
2408,3715,2801,88,133,3301,11148,21846,838,269,a
1368,1243,1491,496,182,1374,1030,7898,1247,163,a
4836,4326,3068,-79,145,4029,9841,7082,1819,310,a
1603,650,1874,1685,194,1628,14099,12693,3429,445,a
1135,1248,1642,-249,725,1563,6672,9058,832,314,a
2046,1628,4298,3819,490,2977,9548,12199,1957,613,a
4008,3282,3841,1070,856,3960,18187,15467,3318,520,a
2620,839,1075,1534,133,876,9638,6328,2283,-57,a
1012,298,979,2,64,296,2893,1643,708,-139,a
4254,2477,2953,-150,295,1545,13992,9453,2222,538,a
1663,519,1855,-116,61,875,8474,6233,1225,317,a
1717,960,2550,48,444,1388,14990,10938,2756,471,a
2737,1154,779,-151,175,3084,15606,9944,1856,163,a
983,1006,2060,-114,71,484,10803,3439,1147,154,a
888,428,2038,23,71,441,3001,2376,1663,-37,a
1747,2247,2743,727,232,2502,20942,13967,2616,738,a
1229,2005,3335,-52,516,1983,13342,1974,1096,492,a
1186,1178,4738,102,144,1467,8834,4057,1561,475,a
1354,789,2106,789,186,1616,9773,6312,1123,518,a
890,275,1342,79,68,286,2675,731,750,-48,a
942,367,2795,-180,25,878,7053,4739,2087,-40,a
907,510,2912,86,108,1391,9173,4906,1406,228,a
763,128,796,-162,84,112,2065,2092,317,-27,a
1808,822,2838,191,177,1438,11160,5915,252,388,a
3423,2503,2453,257,936,4281,17953,12238,2904,699,a
920,724,1318,495,114,1000,14625,7900,1386,289,a
6366,5670,4920,-325,383,3976,19721,14120,2755,811,a
2097,768,2435,1478,215,2259,13418,12781,2151,381,a
1464,1318,831,425,85,1942,6553,4342,590,14,a
1620,601,1340,2520,38,1101,7207,6341,1251,238,a
3194,2094,1690,472,457,2359,11245,7885,4199,784,a
3674,3552,5734,796,627,3143,9245,13040,2318,778,a
1085,477,1414,593,375,846,3713,6623,448,133,a
1244,533,2334,173,165,679,6977,3307,676,224,a
1281,633,4409,252,73,1309,7449,6984,1272,218,a
1756,1377,4782,127,441,2116,12422,10368,1088,640,a
637,871,980,-2,86,1216,13502,7279,1249,-10,a
1935,1519,6844,1059,312,1450,6353,8894,1428,400,a
857,542,1539,202,147,473,15958,5144,1960,165,a
8259,2809,3861,67,627,7340,19547,13529,5927,459,a
2524,1480,3268,-137,171,1631,7168,5842,1290,163,a
2103,1255,3773,358,211,1663,12728,5486,968,377,a
1945,1204,3436,124,214,2533,11115,10066,1194,451,a
1503,1098,1369,135,165,1169,10522,6181,1258,273,a
4138,929,1832,328,304,1847,13112,7323,760,603,a
2803,3887,4054,194,417,3675,14119,10541,2690,963,a
1154,1060,1150,1342,264,1514,9907,5249,1950,236,a
1943,963,2051,-122,196,1755,5071,4480,1168,192,a
2017,1794,1636,-25,198,1553,17268,8362,712,645,a
1312,476,900,47,90,376,4228,2175,1018,-59,a
1058,440,1731,275,145,1093,5376,4531,998,141,a
2702,539,3157,1404,152,816,14154,7995,1695,180,a
626,371,607,-149,140,889,3498,4290,1098,166,b
435,303,1084,-238,116,269,2826,1486,666,-22,b
1088,0,943,-437,-66,-62,1707,1586,214,-254,b
493,228,1465,-619,0,-33,2229,1430,-2,-322,b
413,249,590,-207,-30,281,2004,2565,687,-76,b
1047,-8,339,-875,-163,-21,2511,1244,0,-111,b
469,229,687,-190,134,232,1718,2003,525,74,b
489,327,1369,-166,25,879,4705,2799,474,62,b
589,486,933,-115,118,529,5076,2716,824,77,b
927,497,1164,-172,27,580,4527,4652,603,68,b
831,455,1233,-155,165,776,4628,2908,1101,158,b
716,696,1905,-155,86,929,6756,4454,1060,334,b
780,247,684,-186,107,352,1777,1707,626,38,b
258,353,960,-104,67,961,4198,4700,1018,147,b
676,256,690,-1,36,377,3145,1284,674,79,b
438,-157,991,-552,-13,353,1073,1809,532,-119,b
622,360,941,-167,94,435,4340,2353,575,424,b
196,302,1095,-175,22,341,2654,1355,382,87,b
611,188,1004,-263,6,248,1082,596,54,-133,b
